"","tissue_cluster","an1","Antioxidant_fusion","Response_fusion","Generation_fusion","anti_all","resp_all","gener_all","tissue","system","system1","color"
"364","IVD_12",0.0400699179126771,4.23266713630208e-07,4.35177426066249e-07,4.81978689112556e-07,0.0786371941738748,-0.0693333525295695,0.0658681236721696,"IVD","Motor system",5,"#DC143C"
"365","IVD_13",-0.043427792686781,3.03641007582804e-07,4.43462299668547e-07,2.66886186831508e-07,-0.0430189503892468,-0.057063215518499,-0.0330734246264171,"IVD","Motor system",5,"#DC143C"
"366","IVD_14",0.145167422534587,1.09797628289227e-06,8.40816595717091e-07,3.2274583360883e-07,0.192940594452658,0.101159920345241,-0.0267488602582429,"IVD","Motor system",5,"#DC143C"
"367","IVD_15",0.0605121643379767,1.42476809127835e-06,8.50435582141836e-07,1.22356441366899e-06,0.0892180802508624,0.0644025488966283,0.0826011916015594,"IVD","Motor system",5,"#DC143C"
"368","IVD_16",-0.140699330845841,2.56627589981008e-07,4.76927685621711e-07,2.65707626490926e-07,-0.132254343450147,-0.0698846712706745,-0.047166291309007,"IVD","Motor system",5,"#DC143C"
"369","IVD_17",-0.0408981835585141,3.98595181404292e-07,4.09992932182764e-07,2.96508131480417e-07,0.0713628355063353,-0.0564280081897616,-0.0104819573154089,"IVD","Motor system",5,"#DC143C"
"370","IVD_18",0.217749859557607,2.14371134680044e-06,6.73311750111986e-07,6.33753962072318e-07,0.382227245404603,-0.0119570461675694,0.190372644969273,"IVD","Motor system",5,"#DC143C"
"371","IVD_2",0.295287056827308,1.26692988363567e-06,5.0909949400553e-07,5.48545052089409e-07,0.302609408146929,-0.0463273359500939,0.0723423584075942,"IVD","Motor system",5,"#DC143C"
"372","IVD_3",0.14103782524614,8.22140765945546e-07,7.55728632291811e-07,3.58566718835694e-07,0.182669921153963,0.0281446074939854,0.0242694890725259,"IVD","Motor system",5,"#DC143C"
"373","IVD_4",0.185189896563894,7.15391590065727e-07,5.49712145478983e-07,3.5858365963307e-07,0.125611399771192,-0.0251544616987844,0.0226372231588696,"IVD","Motor system",5,"#DC143C"
"374","IVD_5",0.12698072595771,5.98863538395368e-07,5.48099746841757e-07,4.74887198308545e-07,0.133637986743791,-0.0323642961105911,0.0515181063980618,"IVD","Motor system",5,"#DC143C"
"375","IVD_6",0.00544011407323487,5.23387924389087e-07,5.18836545825274e-07,3.0279582862276e-07,0.0441007840652725,-0.0117806534814348,-0.00417894181793171,"IVD","Motor system",5,"#DC143C"
"376","IVD_7",0.158317138077192,1.15873322813898e-06,1.21247298304261e-06,3.45677589076207e-07,0.128112053314883,0.129259074738544,-0.000334420756254645,"IVD","Motor system",5,"#DC143C"
"377","IVD_8",0.084716899673975,9.76774882394825e-07,7.03786242893036e-07,3.79060044366521e-07,0.162427692647792,0.022383245257281,0.025905231268723,"IVD","Motor system",5,"#DC143C"
"378","IVD_9",-0.0557719980529363,2.58237407188119e-07,4.88875823016691e-07,2.97090306636703e-07,-0.0407657123423529,-0.0451372586837976,-0.00759649066052892,"IVD","Motor system",5,"#DC143C"
"379","Jejunum_0",-0.0894370998691157,2.33868058334042e-07,3.92764574023058e-07,3.65562641517096e-07,-0.0899257362191302,-0.0137796967921172,-0.0178037582712619,"Jejunum","Digestion system",2,"#87CEEB"
"380","Jejunum_1",0.215790625408708,8.19089126825697e-07,6.3187246256134e-07,1.43258535615475e-06,0.168162856223476,0.0434536940814057,0.233195914449516,"Jejunum","Digestion system",2,"#87CEEB"
"381","Jejunum_10",-0.0816872435577248,3.01469855889379e-07,4.38385265565467e-07,7.73750573180069e-07,-0.0139144442586135,0.00899414872273246,0.0451739757955401,"Jejunum","Digestion system",2,"#87CEEB"
"382","Jejunum_11",-0.0676258332987344,2.12897936978691e-07,4.73857376810353e-07,2.71373588169316e-07,-0.114321580933633,-0.00040738438687139,-0.0496172289371042,"Jejunum","Digestion system",2,"#87CEEB"
"383","Jejunum_12",0.0306172720198815,1.23349574961542e-06,9.28789905023271e-07,3.56607311735214e-07,0.204770867267206,0.110670198106191,-0.000446070008017249,"Jejunum","Digestion system",2,"#87CEEB"
"384","Jejunum_13",0.277128961384374,1.68242821417018e-06,7.61187152487413e-07,3.60161532032658e-07,0.309614658393503,0.134887426790038,-0.00785108988225759,"Jejunum","Digestion system",2,"#87CEEB"
