"","an1","an2","an3","an4","an5","an6","an7","an8","an9","an10","an11","an12","an13","an14","an15","an16","an17","an18","an19"
"Ileum_10",-0.0850892971179186,-0.0114203120181868,-0.0914628834657059,0.0646316906433714,-0.0894274763738798,0.0458584082417184,-0.148013444147036,-0.0911715163080596,0.166717900204913,-0.0290967363078269,0.00975105617064748,-0.216382236507299,-0.124181620440279,-0.109932237766952,0.032286272697462,-0.0911715163080596,0.0306216450259971,0.0141101527521645,0.150845108488677
"Ileum_11",0.134451545201203,0.0767937558041931,-0.0817971852076337,-0.169818630129882,0.057840654822206,0.813162597297889,-0.0770199107769582,-0.216069030640822,0.0295930168568889,0.0272551224429183,0.48108026842955,0.177162109284978,-0.255027020494763,0.0380938447877099,0.0653508368357002,-0.216069030640822,0.438193844382371,0.516766539914642,0.00261958844715813
"Ileum_12",-0.133119023358234,-0.152701189383331,-0.102655886944715,-0.0843956455695585,-0.131834691164697,-0.0256584277098729,-0.142318155869515,-0.095292084770327,0.17261120936253,-0.0767053293383281,-0.0908390568549547,-0.256414228798886,-0.306854776553417,-0.135052542689009,0.00832062475789084,-0.0952920847703271,-0.0731257863831356,-0.0710620702544936,0.0976430157112206
"Ileum_13",-0.0373305677958494,0.284305363279431,0.603339343141229,-0.06650448764883,0.222093890916528,-0.139451065553988,-0.0192995809346422,-0.0865502263616657,-0.118450012057966,0.250006459906716,0.0678398329027714,-0.0271640217798062,0.419405553266333,-0.0520374854760762,-0.0871910711032581,-0.0865502263616657,0.0415174087874918,0.0119298870315675,0.274191177568053
"Ileum_14",0.0430015996898126,-0.144189542684218,-0.201672021441895,0.325085939097113,-0.107061184738419,0.465398306378352,-0.0243917802775618,-0.0194756753005359,-0.153791374413455,-0.00633770209227493,0.392058607376209,0.198672099226306,-0.374579858169838,-0.269589656154274,-0.0625548652226295,-0.0194756753005359,0.460980766143887,0.465419498537829,-0.101662281779103
"Ileum_15",-0.214018173413041,-0.113718316219814,-0.0522680190639251,-0.20917981544442,0.0598964748909101,-0.0355410183024136,-0.0337526527069225,-0.339230461760361,-0.184015840640323,-0.223016847288224,-0.333223196708546,-0.4960460656866,-0.490458547704959,-0.120757494131994,-0.333082212714056,-0.339230461760361,-0.343507745229976,-0.323406462313912,-0.0126916596533275
"Ileum_16",-0.101194378217152,-0.00200073186054379,-0.0949649551790589,-0.0523073704726898,-0.156021591690741,0.0149848474482975,-0.0520082784887354,-0.0182369397504636,0.431653643409686,-0.0600436611533893,-0.0713450857000625,0.248040065215968,-0.0577508400972837,-0.0450742395892066,-0.146816731034829,-0.0182369397504636,0.0114667794815603,-0.0176051832316217,0.0630694723005822
"Ileum_17",-0.112836747882794,-0.0608090550946222,-0.105670411017024,-0.117424725433806,-0.0845363053297242,-0.0939820473200932,-0.103604093606193,-0.0189647513406646,0.138366396658567,-0.0147515680946531,-0.0942626639083726,0.56163508061056,0.3887947193425,-0.0152283295550701,-0.127073305970483,-0.0189647513406646,0.00870743472810342,-0.00503226415421352,-0.0174247227957446
"Ileum_18",0.14773710188029,0.0433793826397584,0.0732365680804685,-0.00027696834458333,0.0161637677816857,-0.0103376340510252,0.105258492778001,0.116969780035378,-0.155088802907184,0.0408367992987834,0.029805130355249,0.105742051349744,0.157079585302784,0.054575085340496,-0.0909387717191232,0.116969780035378,0.149359436440042,0.109414393634929,0.0219847703735669
"Ileum_19",0.0240656142491653,0.0802997749398898,-0.0151966950970034,0.115588066235365,0.0417246075167035,-0.140841324013162,-0.00855033870207812,0.0486182757373647,-0.262743246510552,0.0625606236986757,0.22955208598164,0.0587213374959465,0.346766804652304,0.0451950623677678,-0.00849221584700433,0.0486182757373647,0.190730766650775,0.203039438163715,-0.0845828641458965
