"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
3.87045131555736e-30,0.284795175665922,0.407,0.254,5.16821364166375e-26,"2","OVOL1"
1.53206440786899e-29,0.427488405962119,0.469,0.329,2.04576560382746e-25,"2","LGALSL"
2.5303188116152e-29,0.391731418627947,0.994,0.978,3.37873470914977e-25,"2","ND1"
8.66493822181532e-29,0.30933248401256,0.432,0.284,1.157029200759e-24,"2","BNIPL"
2.335931012398e-27,0.358646223080462,0.886,0.818,3.11916868085506e-23,"2","ND5"
2.77249743861327e-27,0.281472731390335,0.353,0.216,3.7021158297803e-23,"2","KLF4"
1.08912323382287e-26,0.715455095982738,0.77,0.67,1.45430625412368e-22,"2","KRT78"
3.37980169675639e-26,0.376920049055688,0.94,0.898,4.5130492056788e-22,"2","ITM2B"
6.60521013327275e-26,0.333469751077179,0.311,0.189,8.8199370909591e-22,"2","EGLN3"
6.72548388269608e-26,0.52473373169788,0.481,0.361,8.98053862856407e-22,"2","GPX3"
1.17258004453222e-25,0.289995364645165,0.819,0.743,1.56574613346388e-21,"2","UQCRB"
1.99695184783006e-25,0.292083341272702,0.992,0.971,2.66652980240748e-21,"2","ATP5F1E"
1.05484418620851e-24,0.269855381307409,0.756,0.628,1.40853344184422e-20,"2","ETFDH"
2.06623258319309e-24,0.321965945337084,0.997,0.995,2.75904036833774e-20,"2","RPL37"
2.22098468887652e-24,0.254939663715735,0.377,0.245,2.96568085505682e-20,"2","SDR16C5"
2.94074860488804e-24,0.25369964777699,0.969,0.928,3.926781612107e-20,"2","TUBA4A"
8.42677458508384e-24,0.335323954136577,0.999,0.999,1.12522721034625e-19,"2","ANXA1"
1.50304268055077e-23,0.289055947236094,0.264,0.149,2.00701289133944e-19,"2","FABP4"
1.75428233592923e-23,0.251681246083772,0.257,0.144,2.3424932031663e-19,"2","FUT6"
8.67147348032778e-23,0.302576122980452,0.691,0.585,1.15790185382817e-18,"2","COX17"
9.93078735831665e-23,0.267435508257566,0.289,0.173,1.32605803595602e-18,"2","PDLIM2"
2.53205274835239e-22,0.938350834681362,0.304,0.197,3.38105003487495e-18,"2","TAP"
3.29245395952696e-22,0.297682793857849,0.533,0.419,4.39641377215635e-18,"2","CDH1"
4.44923657148321e-22,0.286867067088253,0.975,0.956,5.94106559390153e-18,"2","ENSBTAG00000039555"
1.10139664664612e-21,0.272400873066928,0.811,0.727,1.47069494226656e-17,"2","FAM234A"
3.01943378869338e-21,0.539084422881062,0.349,0.239,4.03184993804227e-17,"2","LAP"
4.19677052233483e-21,0.272948604019868,0.665,0.555,5.60394767847369e-17,"2","CLCA2"
1.49247529283724e-20,0.300568065343587,0.354,0.241,1.99290225852556e-16,"2","ISG12(B)"
2.50116584817549e-20,0.274363621575243,0.549,0.443,3.33980675706873e-16,"2","MAL2"
4.06462637555594e-20,0.38891319075747,0.651,0.56,5.42749559927984e-16,"2","HSP90B1"
8.38406528765386e-20,0.260925262086323,0.472,0.354,1.11952423786042e-15,"2","RAB25"
5.21438957049531e-19,0.266801047783532,0.753,0.646,6.96277439348239e-15,"2","NDUFB1"
7.3061662370129e-19,0.337996159414185,0.433,0.321,9.75592377628333e-15,"2","ENSBTAG00000040393"
1.61492892881318e-18,0.252245328587867,0.932,0.874,2.15641459864423e-14,"2","DYNLL1"
2.69187121577859e-18,0.586789658113077,0.868,0.851,3.59445563442915e-14,"2","MFGE8"
2.9258986473676e-16,0.349637017131024,0.654,0.567,3.90695246382995e-12,"2","ATOX1"
8.36070517319934e-16,0.275179856006679,0.664,0.572,1.11640496177731e-11,"2","ATP5F1A"
1.91424708849237e-15,0.250415649409581,0.524,0.427,2.55609413726386e-11,"2","SERPINB1"
4.43937536391025e-15,0.300640553183917,0.391,0.299,5.92789792342935e-11,"2","PDIA6"
5.66280578838665e-15,0.275888223348833,0.458,0.368,7.56154456923269e-11,"2","CRYL1"
2.17514034498585e-13,0.262389795670481,0.682,0.601,2.90446490265961e-09,"2","SEC61G"
6.75599959278088e-13,0.389926813893854,0.985,0.976,9.02128625624031e-09,"2","ND2"
6.99541355961854e-13,0.331224510210821,0.409,0.327,9.34097572615864e-09,"2","ARRDC4"
1.52762319549314e-12,0.301267465472116,0.618,0.536,2.03983525294199e-08,"2","RPL36AL"
1.27846029209286e-09,0.310897072782446,0.839,0.776,1.7071280280316e-05,"2","RPL17"
0,2.7343413592042,0.662,0.007,0,"3","SAA3"
0,1.81154226594061,0.831,0.023,0,"3","CHI3L1"
0,1.73936784824931,0.649,0.002,0,"3","ENSBTAG00000047121"
0,1.58788354500483,0.714,0.01,0,"3","C7"
0,0.460331748131263,0.299,0.001,0,"3","ENSBTAG00000039196"
4.40418894568463e-296,2.46367430538103,0.792,0.025,5.88091349917268e-292,"3","BRB"
4.67625248785299e-282,0.552590255983251,0.273,0.001,6.2441999470301e-278,"3","CD5L"
7.13783475517935e-265,0.997594839608171,0.286,0.001,9.53115074859099e-261,"3","HP"
4.46009136411772e-255,0.494992912115614,0.377,0.004,5.95555999850639e-251,"3","BOLA-DQA5"
4.30525889203791e-252,3.11953662957822,0.532,0.011,5.74881219853822e-248,"3","ENSBTAG00000001219"
1.67325855506027e-251,0.784137251043202,0.519,0.01,2.23430214857198e-247,"3","FOLR2"
8.8320603650127e-247,1.25019683227746,0.442,0.007,1.17934502054015e-242,"3","ENSBTAG00000048135"
1.19324769058762e-225,3.88339644686268,0.727,0.029,1.59334364124165e-221,"3","ENSBTAG00000047700"
3.86692482292768e-209,1.68886978595806,0.338,0.004,5.16350471605533e-205,"3","ENSBTAG00000055240"
3.69461463359836e-205,1.52609544141025,0.688,0.029,4.93341892024388e-201,"3","C1QB"
1.79244600877102e-188,0.50950030635072,0.286,0.003,2.39345315551195e-184,"3","MZB1"
6.20888645026076e-179,2.24544321346568,0.805,0.05,8.2907260770332e-175,"3","C1QC"
5.526012146784e-161,0.538756452379363,0.377,0.009,7.37888401960068e-157,"3","FCN1"
2.78974988405846e-160,1.37163593622533,0.714,0.043,3.72515302018326e-156,"3","ENSBTAG00000006864"
1.02015939325327e-150,1.40268963252529,0.636,0.035,1.36221883781109e-146,"3","ENSBTAG00000048980"
6.51782583886655e-142,0.958347953657343,0.506,0.022,8.70325284263851e-138,"3","TAGLN"
4.91815142378004e-133,0.689108210959595,0.481,0.021,6.56720759617349e-129,"3","RNASE6"
1.65936748046786e-132,0.564955684149781,0.442,0.017,2.21575339666873e-128,"3","ENSBTAG00000019017"
2.22146363735262e-132,1.16206212526804,0.753,0.06,2.96632039495696e-128,"3","AEBP1"
3.02439877279239e-129,2.064325423287,0.805,0.075,4.03847968130967e-125,"3","C1QA"
6.42838354102448e-117,0.887019513405599,0.61,0.042,8.58382054232998e-113,"3","H1-10"
